[ 2021-03-22 02:29:57,827 ] Asset loading complete
[ 2021-03-22 02:30:05,388 ] News query failed: "Unrecognized event news."
[ 2021-03-22 02:30:06,145 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Druid Sample" )
[ 2021-03-22 02:30:06,154 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:30:06,187 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:30:06,303 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:30:06,319 ] Disconnected from gameserver
[ 2021-03-22 02:30:07,203 ] News query failed: "Unrecognized event news."
[ 2021-03-22 02:30:08,053 ] News query failed: "Unrecognized event news."
[ 2021-03-22 02:30:08,762 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Druid Sample" )
[ 2021-03-22 02:30:08,765 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:30:08,803 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:30:08,903 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:30:08,919 ] Disconnected from gameserver
[ 2021-03-22 02:30:09,737 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:30:16,571 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:30:20,911 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Druid Sample" )
[ 2021-03-22 02:30:20,914 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:30:21,036 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:30:21,153 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:30:21,169 ] Disconnected from gameserver
[ 2021-03-22 02:30:21,871 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:30:53,020 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:30:54,279 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-22 02:30:54,280 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:30:54,418 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:30:54,502 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:30:54,515 ] Disconnected from gameserver
[ 2021-03-22 02:30:55,235 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:31:34,934 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:31:40,173 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-22 02:31:40,177 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:31:40,283 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:31:40,400 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:31:40,415 ] Disconnected from gameserver
[ 2021-03-22 02:31:41,133 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:38:35,401 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:38:36,794 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-22 02:38:36,797 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:38:37,766 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:38:41,100 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-22 02:38:42,099 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:38:46,599 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-22 02:38:46,612 ] Disconnected from gameserver
[ 2021-03-22 02:38:47,831 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-22 02:38:47,833 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:38:48,799 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:38:52,149 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-22 02:38:53,149 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:38:57,448 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-22 02:38:57,458 ] Disconnected from gameserver
[ 2021-03-22 02:38:58,683 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-22 02:38:58,686 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:38:59,648 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:39:00,299 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:39:00,748 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:39:00,762 ] Disconnected from gameserver
[ 2021-03-22 02:39:22,716 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:39:23,457 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-22 02:39:23,461 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:39:23,497 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:39:23,597 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:39:23,611 ] Disconnected from gameserver
[ 2021-03-22 02:39:24,414 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:39:24,932 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:39:25,393 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-22 02:39:25,396 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:39:25,432 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:39:25,548 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:39:25,561 ] Disconnected from gameserver
[ 2021-03-22 02:39:26,348 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:39:26,500 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:39:26,958 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-22 02:39:26,960 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:39:26,997 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:39:27,097 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:39:27,108 ] Disconnected from gameserver
[ 2021-03-22 02:39:27,914 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:40:17,947 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:41:28,869 ] Asset loading complete
[ 2021-03-22 02:41:34,342 ] News query failed: "Unrecognized event news."
[ 2021-03-22 02:41:35,103 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Druid Sample" )
[ 2021-03-22 02:41:35,112 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:41:35,142 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:41:36,159 ] News query failed: "Unrecognized event news."
[ 2021-03-22 02:42:05,241 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-03-22 02:42:05,258 ] Disconnected from gameserver
[ 2021-03-22 02:42:14,791 ] News query failed: "Unrecognized event news."
[ 2021-03-22 02:42:16,134 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
[ 2021-03-22 02:42:16,137 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:42:16,174 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:42:17,107 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:42:29,484 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:42:32,313 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Sorcerer Sample" )
[ 2021-03-22 02:42:32,316 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:42:32,357 ] Connected to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:42:33,256 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:42:35,111 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:53:25,499 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:53:26,857 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "Druid Sample" )
[ 2021-03-22 02:53:26,860 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:53:27,813 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 02:53:31,197 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-22 02:53:32,197 ] Request connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"
[ 2021-03-22 02:53:36,546 ] Connection to gameserver  "tcp://80.193.199.141:7172" "OTServBR-Global"  was disconnected ( "Connection refused" )
[ 2021-03-22 02:53:36,589 ] Disconnected from gameserver
[ 2021-03-22 03:04:25,774 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://80.193.199.141/login.php") ) due to too many retries.
[ 2021-03-22 03:04:27,576 ] Request connection to gameserver  "tcp://80.193.199.141:7172"  (unprotected:  "tcp://80.193.199.141:7172" )  requested (Charakter "GOD" )
